model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF386.mixedField,8.62209,4.20987,0.0264295,0.0448479,0.102531,0.0387132,1,0,0,3.23308,0.00101273,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF387.mixedField,8.77097,4.47896,0.0280829,0.0463542,0.104596,0.0371967,1,0,0,3.25215,0.000820314,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF388.mixedField,8.5618,4.35473,0.0291929,0.048486,0.109722,0.0387111,1,0,0,3.11533,0.000792854,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF389.mixedField,8.28265,3.94492,0.0266133,0.0459476,0.105941,0.0409712,1,0,0,3.11079,0.00108271,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF390.mixedField,8.33865,4.21949,0.0278405,0.0459007,0.103517,0.0379539,1,0,0,3.24408,0.000908859,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF391.mixedField,8.63635,4.29976,0.0312742,0.0535773,0.12306,0.0421266,1,0,0,2.82287,0.000701399,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF392.mixedField,8.52807,4.32813,0.0275052,0.0452929,0.102089,0.0372575,1,0,0,3.28979,0.000901443,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF393.mixedField,8.45259,4.26711,0.0254197,0.0413796,0.0927797,0.0355026,1,0,0,3.53043,0.00107627,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF394.mixedField,8.04066,3.91484,0.0263362,0.0442496,0.100684,0.0392488,1,0,0,3.25143,0.00111971,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF395.mixedField,8.49445,4.30333,0.0287907,0.0478268,0.10824,0.0386703,1,0,0,3.13948,0.000828233,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF396.mixedField,8.49996,4.17959,0.0279121,0.0474069,0.10843,0.0399004,1,0,0,3.10663,0.000915401,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF397.mixedField,8.21715,4.02839,0.0274824,0.0464271,0.105913,0.0398984,1,0,0,3.14998,0.000989548,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF398.mixedField,8.36986,4.29942,0.0308402,0.0510145,0.115226,0.0397071,1,0,0,3.00446,0.000720867,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF399.mixedField,8.11162,4.14618,0.0299868,0.049391,0.111338,0.0395282,1,0,0,3.07409,0.000799106,0,0
