model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG244.mixedField,7.08106,3.78736,0.0311166,0.0484582,0.106581,0.0384014,1,0,0,3.1942,0.000831517,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG245.mixedField,6.97205,3.87141,0.0339159,0.0516452,0.112558,0.038303,1,0,0,3.09573,0.00067389,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG246.mixedField,6.89284,3.66545,0.0310558,0.048385,0.10644,0.0389331,1,0,0,3.18346,0.000871013,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG247.mixedField,6.95998,3.67893,0.0294458,0.0457545,0.100542,0.0377579,1,0,0,3.3162,0.000965825,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG248.mixedField,6.96975,3.81781,0.0346341,0.0535561,0.11745,0.0398088,1,0,0,2.97375,0.000658862,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG249.mixedField,7.20523,3.79052,0.0317351,0.0504643,0.111982,0.0399876,1,0,0,3.05668,0.000801003,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG250.mixedField,7.36985,3.85836,0.0292703,0.0462641,0.102394,0.0378811,1,0,0,3.28212,0.000918614,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG251.mixedField,6.83277,3.59811,0.0318299,0.0501659,0.110894,0.0403985,1,0,0,3.06525,0.000850231,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG252.mixedField,6.99399,3.67789,0.0318472,0.0504621,0.111805,0.0403312,1,0,0,3.05595,0.000824604,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG253.mixedField,7.08529,3.81298,0.0328897,0.0514009,0.11322,0.0395113,1,0,0,3.04751,0.000736316,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG254.mixedField,7.32361,3.89749,0.0311833,0.0490504,0.108338,0.0385746,1,0,0,3.15315,0.000796102,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG255.mixedField,7.15081,3.66439,0.0306411,0.0495509,0.110772,0.0409014,1,0,0,3.05513,0.000898106,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG256.mixedField,6.90968,3.637,0.0299253,0.0467568,0.10298,0.0385585,1,0,0,3.25352,0.000949842,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG257.mixedField,7.30302,3.99514,0.029943,0.0455955,0.0993732,0.0356733,1,0,0,3.41261,0.000833286,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG258.mixedField,7.49397,3.91531,0.0293275,0.0465853,0.103326,0.0379647,1,0,0,3.26157,0.000898596,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG259.mixedField,7.28741,3.78088,0.0301758,0.0483106,0.10752,0.0402399,1,0,0,3.1509,0.000891196,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG260.mixedField,7.28495,3.92914,0.0300997,0.0464526,0.10179,0.0367447,1,0,0,3.32548,0.000844467,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG261.mixedField,7.15187,3.82987,0.0313841,0.0489647,0.107777,0.0384906,1,0,0,3.16482,0.000806495,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG262.mixedField,7.31104,3.82104,0.0320129,0.0514263,0.114625,0.0410177,1,0,0,3.00602,0.000775383,0,0
