model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF65.mixedField,17.9414,5.80234,0.0132908,0.0404186,0.136208,0.151888,1,0,0,2.64615,0.00242255,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF66.mixedField,17.8204,5.60538,0.0139169,0.0435645,0.150288,0.181117,1,0,0,2.55561,0.00221851,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF67.mixedField,17.5176,5.76346,0.0131157,0.0391467,0.129957,0.154991,1,0,0,2.80162,0.00250256,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF68.mixedField,17.2837,5.4272,0.0152767,0.0532262,0.200724,0.262874,1,0,0,2.4267,0.00187654,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF69.mixedField,17.2086,5.59075,0.0169298,0.0554694,0.198672,0.235698,1,0,0,2.25869,0.00150833,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF70.mixedField,16.7644,5.79173,0.0147463,0.0434252,0.142625,0.164167,1,0,0,2.61333,0.00201937,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF71.mixedField,16.7209,5.51752,0.0183091,0.0547973,0.182312,0.197738,1,0,0,2.27107,0.00128167,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF72.mixedField,16.4021,5.24717,0.0148993,0.0451655,0.151813,0.188532,1,0,0,2.68999,0.00203744,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF73.mixedField,16.158,5.31489,0.0160446,0.0458814,0.147248,0.175639,1,0,0,2.59027,0.00175584,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF74.mixedField,16.0144,5.42728,0.0178093,0.0490476,0.152888,0.142389,1,0,0,2.38726,0.00142096,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF75.mixedField,15.7857,5.31167,0.0162075,0.0419046,0.124552,0.0982096,1,0,0,2.7151,0.00173979,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF76.mixedField,15.5217,5.39806,0.0168913,0.0460398,0.14238,0.162668,1,0,0,2.75276,0.00160234,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF77.mixedField,15.2853,5.32886,0.0183103,0.0507221,0.158817,0.187884,1,0,0,2.54814,0.00138482,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF78.mixedField,15.2602,5.14597,0.0178638,0.0487356,0.150823,0.150338,1,0,0,2.50618,0.00148737,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF79.mixedField,14.9757,5.22399,0.0173233,0.0448414,0.133395,0.136721,1,0,0,2.74056,0.00157098,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF80.mixedField,15.0164,5.27084,0.0184028,0.0512911,0.161357,0.195351,1,0,0,2.64204,0.00139304,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF81.mixedField,14.7113,5.3087,0.018884,0.0503618,0.153194,0.170766,1,0,0,2.66505,0.00132854,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF82.mixedField,14.9411,6.30261,0.0179262,0.0483516,0.148343,0.17338,1,0,0,2.66874,0.00147027,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF83.mixedField,14.5491,5.18127,0.0189909,0.046232,0.13154,0.0899848,1,0,0,2.61522,0.00132913,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF84.mixedField,14.2579,5.11575,0.0181385,0.0516822,0.165398,0.24195,1,0,0,2.7796,0.00149456,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF85.mixedField,14.276,5.09174,0.0180529,0.0451989,0.131217,0.123468,1,0,0,2.76784,0.00151789,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF86.mixedField,13.9988,5.26903,0.0183796,0.0441999,0.124673,0.13785,1,0,0,2.97426,0.00143188,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF87.mixedField,13.8154,5.10145,0.0188302,0.0491588,0.147166,0.182351,1,0,0,2.82955,0.00140244,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF88.mixedField,13.8803,5.16808,0.0196962,0.0493942,0.143567,0.154508,1,0,0,2.73524,0.00126425,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF89.mixedField,13.4464,5.07091,0.0188191,0.0466657,0.134536,0.168448,1,0,0,2.86929,0.00144914,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF90.mixedField,13.456,5.03038,0.0185458,0.0448276,0.1269,0.133568,1,0,0,2.92302,0.00150335,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF91.mixedField,13.4811,5.06373,0.0185712,0.0441678,0.123615,0.128848,1,0,0,2.94686,0.00147154,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF92.mixedField,13.0011,4.91205,0.0188301,0.0453365,0.127985,0.137751,1,0,0,2.95371,0.00150325,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF93.mixedField,12.8071,5.02003,0.0221277,0.0524803,0.146595,0.15548,1,0,0,2.68244,0.00106668,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF94.mixedField,12.8836,4.85316,0.0183422,0.0398382,0.104868,0.0520357,1,0,0,3.01949,0.00159405,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF95.mixedField,12.5466,4.78722,0.0192946,0.0446517,0.122628,0.126067,1,0,0,2.92839,0.0014824,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF96.mixedField,12.7383,5.0342,0.022451,0.0526856,0.146088,0.14008,1,0,0,2.66988,0.00103864,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF97.mixedField,12.1807,4.66255,0.0208704,0.0492047,0.136877,0.138175,1,0,0,2.75916,0.0013043,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF98.mixedField,12.3046,4.83697,0.0203154,0.0463273,0.12596,0.130844,1,0,0,2.93283,0.00133852,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF99.mixedField,12.0637,4.80468,0.0214476,0.0530877,0.152852,0.196945,1,0,0,2.84881,0.00120891,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF100.mixedField,11.7866,4.78311,0.0207559,0.0437147,0.112825,0.0938619,1,0,0,3.03984,0.00130448,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF101.mixedField,11.81,4.66667,0.0210904,0.0465645,0.123898,0.104638,1,0,0,2.86057,0.00132142,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF102.mixedField,11.5162,4.69181,0.0226764,0.0468103,0.119306,0.053701,1,0,0,2.79708,0.00113974,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF103.mixedField,11.7309,4.7744,0.0227819,0.0498759,0.131974,0.125012,1,0,0,2.79389,0.0010947,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF104.mixedField,11.6679,4.72591,0.0195843,0.040558,0.103578,0.0690406,1,0,0,3.19937,0.00150083,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF105.mixedField,11.3346,4.83525,0.0228933,0.0448899,0.110915,0.0439046,1,0,0,2.98303,0.0010847,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF106.mixedField,11.4385,4.76264,0.0270654,0.0570635,0.147376,0.0784932,1,0,0,2.43614,0.000794281,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF107.mixedField,10.9366,4.6262,0.0218152,0.0439088,0.110193,0.0766537,1,0,0,3.08877,0.0012663,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF108.mixedField,10.9088,4.73565,0.0234059,0.0478691,0.121307,0.102926,1,0,0,3.00452,0.00107627,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF109.mixedField,10.6532,4.53922,0.0241807,0.0557746,0.152829,0.200316,1,0,0,2.85033,0.00105027,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF110.mixedField,10.7012,4.50254,0.0223447,0.0464148,0.118758,0.100073,1,0,0,3.00841,0.0012398,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF111.mixedField,10.6732,4.50046,0.0219713,0.0439664,0.109952,0.0679743,1,0,0,3.06857,0.00128435,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF112.mixedField,10.6754,4.59816,0.0239141,0.0490927,0.124695,0.100527,1,0,0,2.92075,0.00106027,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF113.mixedField,10.4881,4.5661,0.0239291,0.046164,0.112989,0.0549863,1,0,0,2.98253,0.00106828,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF114.mixedField,10.2604,4.33024,0.0210482,0.041126,0.101404,0.0581166,1,0,0,3.19361,0.00150175,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF115.mixedField,10.2111,4.56787,0.0230541,0.04484,0.110267,0.0678055,1,0,0,3.05566,0.00121551,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF116.mixedField,10.3824,4.56037,0.0238228,0.051751,0.136243,0.16814,1,0,0,2.98364,0.00110315,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF117.mixedField,10.4063,4.63008,0.0226378,0.0452526,0.113097,0.1145,1,0,0,3.21912,0.00120382,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF118.mixedField,10.2514,4.67342,0.02664,0.0495794,0.118912,0.0442064,1,0,0,2.86714,0.000853492,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF119.mixedField,9.9718,4.45737,0.0246059,0.0503937,0.127814,0.142014,1,0,0,3.02509,0.00105697,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBF120.mixedField,9.83877,4.45081,0.0257484,0.0518686,0.130235,0.133837,1,0,0,2.94496,0.000971435,0,0
