model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG93.mixedField,6.96954,3.34444,0.0273732,0.0472221,0.108837,0.0863604,1,0,0,3.10887,0.00128386,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG94.mixedField,7.00647,3.43037,0.0280545,0.0472023,0.107474,0.0499303,1,0,0,3.07899,0.00120002,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG95.mixedField,6.89409,3.36005,0.0288871,0.0480335,0.108757,0.0434284,1,0,0,3.02567,0.00113621,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG96.mixedField,6.81952,3.3029,0.0285781,0.0504432,0.117615,0.108908,1,0,0,3.03963,0.00118306,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG97.mixedField,6.73254,3.35195,0.029259,0.0489332,0.111096,0.0691746,1,0,0,3.09289,0.00110808,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG98.mixedField,6.52703,3.18471,0.028498,0.0472232,0.10675,0.0521097,1,0,0,3.09676,0.00124231,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG99.mixedField,6.5419,3.24164,0.0295736,0.0483847,0.108735,0.0465561,1,0,0,3.04883,0.00112917,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG100.mixedField,6.44462,3.16833,0.0296639,0.0491799,0.1112,0.0553382,1,0,0,3.01314,0.00114973,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG101.mixedField,6.51487,3.26691,0.0293194,0.0487582,0.110404,0.072979,1,0,0,3.12382,0.0011369,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG102.mixedField,6.31177,3.22192,0.0311881,0.0499052,0.111043,0.0484056,1,0,0,3.03382,0.0010206,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG103.mixedField,6.42424,3.17204,0.0293646,0.0491079,0.11149,0.0682264,1,0,0,3.06049,0.00117209,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG104.mixedField,6.43173,3.33741,0.0288384,0.0447042,0.0981372,0.0389243,1,0,0,3.33373,0.00114209,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG105.mixedField,6.40005,3.28316,0.0286882,0.0467436,0.104851,0.0696394,1,0,0,3.21873,0.00121356,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG106.mixedField,6.46665,3.26538,0.0278526,0.0439042,0.0970589,0.0396077,1,0,0,3.31678,0.00126054,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG107.mixedField,6.34097,3.31357,0.0302279,0.0489337,0.109443,0.0894499,1,0,0,3.22512,0.00104358,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG108.mixedField,6.24868,3.31351,0.0314111,0.0487359,0.107027,0.0408976,1,0,0,3.12096,0.000990446,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG109.mixedField,6.28117,3.22419,0.0310277,0.0490879,0.108688,0.0424867,1,0,0,3.06422,0.00103099,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG110.mixedField,6.20512,3.2802,0.0311617,0.04797,0.105006,0.040122,1,0,0,3.17366,0.000998052,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG111.mixedField,6.20556,3.20606,0.0300548,0.0468716,0.103153,0.0406382,1,0,0,3.19311,0.00110878,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG112.mixedField,6.18701,3.19028,0.0298923,0.0466162,0.102589,0.0406243,1,0,0,3.20282,0.00112828,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG113.mixedField,6.14376,3.22286,0.0296201,0.0453395,0.0990212,0.0391774,1,0,0,3.30905,0.00113257,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG114.mixedField,6.00371,3.22482,0.032115,0.0504615,0.111404,0.0893305,1,0,0,3.16263,0.000956676,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG115.mixedField,6.15456,3.26258,0.0303895,0.0470595,0.103263,0.0569261,1,0,0,3.27402,0.00105671,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG116.mixedField,5.85555,3.10822,0.0314428,0.0477684,0.104013,0.0404677,1,0,0,3.18633,0.00104653,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG117.mixedField,5.94583,3.3657,0.0334312,0.0516472,0.11322,0.0716706,1,0,0,3.09467,0.000884817,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG118.mixedField,5.98015,3.23986,0.0330159,0.0503988,0.10995,0.0412231,1,0,0,3.07548,0.000915878,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG119.mixedField,5.98881,3.21806,0.0322793,0.0494484,0.108029,0.0410832,1,0,0,3.10262,0.000966698,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG120.mixedField,5.97796,3.24616,0.0319268,0.0478631,0.103681,0.0393709,1,0,0,3.2277,0.000958117,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG121.mixedField,5.97734,3.23757,0.0326877,0.0493421,0.107169,0.0400959,1,0,0,3.14906,0.000917144,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG122.mixedField,5.89901,3.10346,0.0323651,0.0507299,0.111881,0.0627908,1,0,0,3.06716,0.000989828,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG123.mixedField,5.93271,3.15295,0.0326944,0.0525483,0.117153,0.0932031,1,0,0,3.0716,0.00094935,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG124.mixedField,6.02597,3.19159,0.0323285,0.0497489,0.108885,0.0413067,1,0,0,3.0824,0.000958633,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG125.mixedField,5.95204,3.12481,0.0318053,0.0490371,0.10741,0.0414965,1,0,0,3.10706,0.0010174,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG126.mixedField,6.08205,3.22458,0.0332974,0.0515729,0.113176,0.0422832,1,0,0,3.00304,0.000890918,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG127.mixedField,6.10077,3.3,0.0326755,0.0495681,0.107869,0.0400354,1,0,0,3.13155,0.000896268,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG128.mixedField,5.97848,3.23954,0.0314074,0.0471608,0.102223,0.0407149,1,0,0,3.27217,0.000993709,0,0
