H,He,Li,Be,B,C,N,O,F,Ne
64.5261,82.4928,47.419,25.756,16.6141,1.26993,0.487489,0.0912486,0.797284,0.72169
64.672,81.9411,46.2254,25.5412,16.0012,1.27942,0.450903,0.0916988,0.643141,0.478584
65.3444,81.3367,45.4269,24.4348,15.2375,1.18747,0.459723,0.0895379,0.486033,0.709985
65.3084,81.0771,46.8186,24.3333,14.5804,1.10652,0.415912,0.0807382,0.488797,0.423806
65.6754,81.1177,45.4125,22.9922,13.7793,0.891379,0.442601,0.0673255,0.701324,0.634011
66.2837,80.8141,44.8094,22.3726,13.2979,0.929329,0.41081,0.0565113,0.666241,0.642741
66.3967,80.1403,44.3254,21.7365,12.8752,0.828556,0.374205,0.0675754,0.422932,1.29219
66.3056,79.5803,44.9661,21.5974,12.7176,0.888134,0.347397,0.0498825,0.440522,0.578165
66.5486,79.4452,44.1813,20.4079,12.1144,0.698248,0.334044,0.0614698,0.576892,0.78537
66.8268,79.0011,43.5799,21.2254,11.0368,0.661424,0.294286,0.0529826,0.46762,0.679002
67.1657,78.7265,41.8887,20.7754,10.255,0.539498,0.330682,0.0463136,0.43439,0.6254
67.3307,78.4827,41.2391,17.8674,8.97485,0.504355,0.292588,0.047027,0.450842,0.532533
67.3339,78.3346,40.9939,19.2942,7.31303,0.576638,0.28093,0.0356246,0.171958,0.420662
67.492,77.677,41.0319,20.6447,5.90766,0.437525,0.259541,0.0287863,0.277991,0.532893
67.3283,77.6483,40.8572,20.0901,5.22565,0.504087,0.255445,0.0286623,0.134933,0.00318379
67.5528,77.0655,38.8722,20.5412,5.6457,0.46617,0.275386,0.0281436,0.270844,0.0855375
67.5613,76.4646,37.9879,20.5894,4.85899,0.426732,0.24679,0.0331125,0.178814,0.248107
67.4336,76.3652,37.2792,20.5036,4.13783,0.546337,0.244976,0.0294435,0.231605,0.0453321
67.6506,75.7074,35.8695,23.1661,3.03871,0.44894,0.267902,0.0278158,0.187616,0.071876
67.6261,75.1394,36.5427,20.3313,2.01019,0.470769,0.274601,0.0306457,0.170503,0.0432566
67.5633,74.7039,35.0987,20.3761,1.04404,0.396737,0.255813,0.0288474,0.195922,0
67.6282,74.4168,34.3882,22.7729,0.67663,0.415136,0.263718,0.0278596,0.138229,0.0033413
67.6876,73.9114,33.5094,18.6945,0.826489,0.476172,0.213793,0.0242754,0.266456,0.010772
67.9501,73.5989,32.2598,20.4615,0.716385,0.439109,0.232331,0.0268137,0.18118,0.011052
67.8504,72.9199,32.6071,18.3819,0.613236,0.430851,0.240622,0.0269724,0.246552,0.117493
