H,He,Li,Be,B,C,N,O,F,Ne
250665,33490,17,2,27,114,230,5954,11,0
247973,32107,21,2,20,115,215,6011,16,0
245244,30724,21,1,22,113,217,5956,19,1
242125,29359,23,0,20,138,217,5918,13,0
239369,28020,18,2,15,87,195,5981,18,2
236631,26896,15,1,23,113,197,5815,11,0
233853,25604,10,2,27,121,176,5846,10,0
230998,24524,17,2,20,98,192,5868,5,0
228146,23439,21,3,18,96,183,5646,7,0
225501,22402,17,2,10,103,172,5788,7,1
222815,21414,14,2,25,93,177,5662,4,0
220231,20363,10,1,16,105,158,5608,2,0
217474,19339,11,1,12,106,169,5670,9,0
215146,18375,16,1,20,90,139,5470,8,0
212627,17508,14,3,16,104,144,5727,6,0
210147,16634,12,2,13,87,170,5544,3,1
207782,15836,15,2,10,91,135,5680,8,0
205422,15043,16,0,17,86,158,5709,8,0
203003,14240,12,2,22,82,146,5366,9,1
200984,13598,11,2,14,89,139,5468,11,0
198351,12851,14,1,15,78,143,5535,6,2
196059,12229,17,3,10,88,139,5315,6,0
193733,11560,14,1,15,75,144,5461,7,0
191514,10968,15,0,15,81,136,5322,5,0
188953,10302,8,0,18,90,120,5341,8,0
186959,9735,16,0,13,87,113,5392,7,1
184623,9224,14,1,16,72,130,5271,7,0
182296,8700,9,1,14,61,138,5303,3,0
180357,8241,11,0,13,90,130,5226,5,0
178644,7781,19,1,8,88,140,5188,3,0
176378,7268,17,1,11,71,98,5034,7,0
