H,He,Li,Be,B,C,N,O,F,Ne
63.8575,82.2126,51.7273,25.5862,17.7557,1.57176,0.478474,0.0778933,0.419828,0.980845
64.2837,82.0297,49.0324,25.3914,17.3802,1.30608,0.461614,0.0925995,0.519502,0.265404
64.4565,81.4752,51.0052,25.2972,16.7315,1.2079,0.436922,0.0817624,0.449025,1.2256
64.7577,81.2396,48.6879,24.2689,16.1937,1.07948,0.439319,0.078785,0.851393,0.487966
65.1695,80.7986,47.5612,23.5955,15.5234,1.01163,0.431437,0.0808463,0.397886,0.830987
65.3247,80.7583,47.0006,22.9937,14.8517,1.09736,0.434598,0.066487,0.520483,0.199556
65.2808,80.3301,47.0051,22.5471,13.8941,1.0464,0.394437,0.0715383,0.672585,0.762406
65.4395,79.8136,45.7088,21.0424,13.4599,1.04679,0.403796,0.0728747,0.445844,0.536482
65.6873,79.4049,45.6389,20.8489,12.5696,0.943272,0.319574,0.0553581,0.575935,0.448838
65.7797,78.9964,45.175,20.6072,11.3082,0.79371,0.319354,0.0516393,0.501314,0.538884
65.8758,77.9198,45.3701,20.0726,10.0567,0.58513,0.340362,0.0493805,0.713923,0.497315
66.2701,78.0244,42.6165,18.8327,8.97625,0.531979,0.312218,0.0512293,0.350269,0.768902
66.3527,78.2189,41.7885,19.4573,7.27862,0.509033,0.266662,0.0330752,0.429947,0.00349041
66.8712,77.7876,41.8978,20.5269,5.91264,0.459296,0.277022,0.0353394,0.266462,0.291669
66.7746,77.2991,41.233,20.0054,5.02869,0.447587,0.288547,0.0423601,0.374619,0.400049
66.6552,76.6826,41.0813,21.6678,5.92415,0.508058,0.266559,0.0366103,0.209773,0.00788371
66.537,76.2139,43.5496,19.7952,4.41801,0.467582,0.25575,0.0295386,0.162793,0
66.6161,75.3412,40.1109,20.2181,3.35252,0.525925,0.280285,0.0346089,0.13873,0.00104611
66.7602,75.1935,39.9018,20.833,2.20203,0.474311,0.24936,0.0305278,0.208171,0.20035
66.5606,74.6347,39.6525,20.8278,1.56438,0.465311,0.291005,0.029136,0.241756,0
66.5429,74.1118,38.1847,21.5219,1.40235,0.495968,0.272428,0.0338798,0.139228,0.0516896
66.4378,73.7173,36.326,21.7989,1.14655,0.442514,0.251906,0.0330326,0.254406,0.00675615
66.3718,73.1029,36.5401,20.3931,0.640417,0.478541,0.272834,0.0273973,0.230269,0.00779672
66.6587,72.7182,35.6277,19.6773,0.566007,0.484912,0.294995,0.0257973,0.18619,0.274606
66.3133,72.4545,33.7683,19.7551,0.666621,0.422239,0.258386,0.0361139,0.14683,0.131091
66.3164,72.1252,33.849,19.564,0.599196,0.459231,0.26032,0.0271896,0.163958,0
66.714,71.451,34.2929,18.0677,0.66021,0.447912,0.241736,0.0299518,0.428688,0.0731951
66.8498,70.9,32.4655,16.9227,0.732155,0.385331,0.229797,0.0263347,0.336595,0.111172
66.6847,70.0405,31.8662,17.2256,0.713927,0.399398,0.231758,0.0222435,0.169324,0.0547302
66.6531,69.2044,32.0063,16.3897,0.904644,0.472956,0.255835,0.0340041,0.178235,0.051707
66.3138,68.8907,31.0485,15.3948,0.758635,0.448079,0.25057,0.0296997,0.197667,0.504668
66.6531,68.3484,29.1751,14.4253,0.818483,0.46486,0.247942,0.031303,0.214275,0.285324
66.5834,67.3163,29.6874,15.3189,0.700013,0.477808,0.273617,0.026446,0.240161,0.00783738
66.6951,66.8951,29.1644,13.98,0.798012,0.429102,0.25993,0.0272334,0.294267,0.00488952
66.8322,66.5416,27.0007,14.7925,0.92977,0.437444,0.250656,0.0240411,0.224942,0.482082
66.5184,65.9594,27.2933,13.7576,0.686548,0.448037,0.249237,0.0296825,0.186735,0.00268755
66.5283,65.6464,27.2503,14.1925,0.474015,0.438039,0.267197,0.0202903,0.151073,0.0923404
66.4749,64.4759,26.3548,12.3613,0.660041,0.454704,0.263598,0.0225305,0.122821,0.052856
66.4009,64.0982,25.6479,14.0475,0.672838,0.428044,0.230511,0.0242624,0.234903,0.00693056
66.3711,63.3977,24.6214,12.1456,0.711573,0.446877,0.243508,0.0205463,0.180918,0
66.1333,63.0368,23.8942,12.1626,0.666776,0.416543,0.21357,0.019985,0.178167,0.179352
66.0044,62.2753,23.9931,10.3757,0.683118,0.518269,0.251628,0.0173458,0.568505,0.0406335
66.221,61.6143,23.1853,9.08138,0.618962,0.410726,0.244266,0.0257439,0.200725,0.0741723
66.1316,60.8787,22.1199,9.30937,0.672246,0.352421,0.222622,0.0238741,0.150557,1.13498
66.0001,60.3771,22.055,7.95311,0.503429,0.48258,0.212622,0.0202568,0.120109,0.16843
65.6154,59.7371,22.9696,8.37818,0.525667,0.468252,0.229354,0.0230618,0.556726,0.278402
65.6921,59.0697,21.7983,6.52642,0.449584,0.417456,0.233424,0.0229738,0.146766,0
65.8446,58.6496,21.3848,6.94686,0.537369,0.435703,0.254423,0.0222698,0.132372,0.112319
65.5987,57.7949,21.3764,6.85888,0.632136,0.393024,0.23594,0.0241531,0.191594,0.0122939
65.2632,57.4385,20.8283,6.12477,0.741408,0.399037,0.265057,0.0201774,0.155992,0.00626839
65.2537,57.3819,19.5038,7.03375,0.635743,0.441289,0.235417,0.0207005,0.14049,0
65.3207,57.087,18.498,4.01197,0.610374,0.42249,0.250095,0.0182291,0.133229,0
65.5474,56.2937,19.1873,6.51299,0.400796,0.461205,0.249832,0.0171595,0.234942,0
65.5756,55.1763,19.2203,4.79514,0.505923,0.402042,0.224341,0.01737,0.0757879,0
65.3413,54.6935,18.8482,5.29952,0.512386,0.420015,0.215349,0.0187344,0.167882,0
65.3737,54.4222,19.1721,3.81517,0.572562,0.426807,0.202258,0.0191018,0.22711,0.319436
65.1451,53.55,19.2002,7.86502,0.525835,0.38464,0.226874,0.018246,0.15955,0
65.339,53.1249,17.9802,4.66912,0.624996,0.437718,0.250523,0.0166081,0.101886,0.0124567
65.158,52.2555,17.491,2.78478,0.569976,0.422423,0.249832,0.0187987,0.19384,0
64.8658,51.8935,18.6865,0.452699,0.528659,0.486774,0.208853,0.0200543,0.147192,0
64.9959,51.517,16.3752,0.882541,0.619181,0.393338,0.197279,0.0181808,0.201023,0.0456291
64.9408,50.9209,16.8993,1.65176,0.452416,0.39186,0.204865,0.0173661,0.190835,0
65.0809,50.1972,15.5992,0.903769,0.812257,0.374172,0.245828,0.0145012,0.13326,0.00903159
65.2422,49.8005,15.1801,0.000100161,0.836188,0.426701,0.19968,0.0172183,0.257758,0.0342153
64.4934,49.3305,15.206,0.481698,0.576162,0.407826,0.219606,0.0200179,0.205696,0.0196179
64.3981,49.1994,13.4651,0.93556,0.435642,0.363807,0.244902,0.017316,0.141137,0
64.4509,48.5461,13.8074,0.465355,0.495585,0.42803,0.205558,0.016682,0.165693,0.0469304
64.4274,47.7066,13.7986,0.583434,0.475501,0.417911,0.227108,0.0182397,0.274173,0.0560708
64.1116,46.6766,14.5386,0.169684,0.574209,0.380546,0.216425,0.0188346,0.229556,0
64.1459,46.7333,13.5369,0.568811,0.769077,0.375634,0.228241,0.013195,0.188833,0.0821068
64.3612,45.7031,12.3886,0.575872,0.642014,0.334437,0.190625,0.0140221,0.139382,0.127849
64.1868,45.5798,11.8059,0.442044,0.724409,0.444728,0.213384,0.0197671,0.185233,0
63.9155,44.8547,11.2918,0.000707631,0.528066,0.352103,0.242475,0.0178356,0.197146,0
63.7309,44.0692,10.1804,0.267984,0.545111,0.34735,0.212499,0.0139118,0.137645,0.00438532
63.8394,43.7801,9.3047,0.330635,0.54841,0.383507,0.202596,0.0176768,0.142275,0
63.6941,43.2451,10.7468,0.176101,0.467505,0.409071,0.278049,0.0112935,0.116162,0
63.552,42.64,10.6192,0.107334,0.43053,0.395675,0.228558,0.0141085,0.267861,0.0095761
64.0988,42.3834,11.9618,1.24248,0.722868,0.35891,0.198716,0.0127549,0.080175,0.00692851
63.5947,42.1498,8.50622,0.506498,0.398569,0.33879,0.226336,0.0130805,0.175894,0.0216832
63.8479,41.9814,11.3414,0.802126,0.595185,0.340555,0.187809,0.0154395,0.17989,0.00424814
63.3557,41.3066,8.84284,0.307518,0.517017,0.384496,0.183033,0.0154224,0.301763,0.00770303
62.9869,40.5613,8.95284,0.411519,0.686886,0.355974,0.202542,0.0160252,0.107896,0
63.5375,40.0147,10.7109,0.967846,0.507087,0.352692,0.203227,0.0105098,0.0625872,0.00466983
63.0226,39.5412,9.77126,0.00124086,0.324904,0.355671,0.164391,0.0124647,0.171748,0
62.7269,38.8103,9.32483,0.709002,0.489564,0.331391,0.200541,0.0134737,0.205758,0.00800857
63.0694,38.3908,8.48212,0.532922,0.446165,0.316533,0.233857,0.0123252,0.100462,0
62.4743,38.1427,11.1068,0.447032,0.738427,0.344827,0.246349,0.0107897,0.123058,0.0156395
62.6896,37.3748,8.39262,0.271271,0.390216,0.325648,0.189038,0.0126747,0.175929,0
62.7986,37.4941,7.09613,1.36293,0.458489,0.384288,0.179939,0.0106335,0.164258,0
62.5249,36.9942,7.64608,0.0501677,0.443448,0.348685,0.190552,0.0111423,0.163783,0
62.7675,36.567,6.75334,0.606004,0.447445,0.361243,0.173352,0.0102831,0.160746,0
62.5087,36.0392,7.76492,0.492499,0.26136,0.373018,0.23163,0.010577,0.313503,0
62.1204,35.789,4.89141,0.000978071,0.411104,0.298235,0.182097,0.0116311,0.129871,0.0110466
62.3205,35.3549,5.7436,0.0005055,0.436595,0.457504,0.182514,0.01009,0.211986,0
62.2195,34.7917,5.26229,0.0204959,0.419193,0.320122,0.143268,0.0106279,0.110445,2.43606
61.7445,34.2898,5.92198,0.000451476,0.48187,0.380831,0.190067,0.00823157,0.0936669,0
61.8935,34.1917,3.29815,0.400294,0.539329,0.328762,0.195577,0.0118475,0.146678,0
62.048,33.6269,3.1716,0.03307,0.534788,0.37597,0.1881,0.0122843,0.150551,0
61.8855,33.3554,3.67095,0,0.54202,0.337826,0.172621,0.00919243,0.101757,0
61.8938,32.975,3.96775,2.40827,0.389918,0.333551,0.17372,0.0165691,0.212334,0
61.5837,32.3827,2.52604,1.47997,0.458127,0.369949,0.159185,0.0100492,0.0727089,0
61.3148,31.8628,2.31941,0.996433,0.797979,0.32306,0.199023,0.00930506,0.129459,0.230901
61.5291,32.0045,3.09253,0,0.68285,0.337992,0.160671,0.0102955,0.224372,0
61.4514,31.8896,2.67346,0.000178549,0.454153,0.342238,0.193211,0.0112058,0.284383,0.00559421
61.011,30.9175,1.26981,0.323677,0.622857,0.339705,0.193356,0.00981779,0.195042,0
60.9294,31.3425,1.16455,0.367034,0.443926,0.341245,0.170609,0.00789614,0.112906,0
60.8588,31.4938,1.2774,0.0254491,0.440446,0.364187,0.192936,0.0109998,0.104759,0
60.8519,30.698,1.28795,0.81248,0.607093,0.309773,0.195808,0.00834539,0.197777,0
60.9783,30.2596,1.79714,0.741753,0.665186,0.366138,0.144559,0.00772244,0.305758,0.00162479
60.8023,29.582,2.25387,1.04776,0.356282,0.295025,0.173614,0.00883934,0.111339,0
60.4997,29.3724,1.47686,0.520205,0.484941,0.331209,0.142826,0.0105155,0.0507682,0
60.7928,29.1962,3.66725,0.318507,0.164777,0.31477,0.185073,0.00911783,0.230805,0
60.5464,29.2653,1.67483,0.0787832,0.25208,0.235157,0.198186,0.00810544,0.271787,0
60.5908,29.2545,2.36783,0.5315,0.557734,0.366539,0.155707,0.00848681,0.261067,0
60.3092,28.4837,1.88875,0.452553,0.461945,0.232997,0.190062,0.00910486,0.0995092,0.00605809
60.1162,28.1316,1.30271,0.818938,0.285755,0.265278,0.148585,0.00670365,0.0877053,0
60.0916,28.1963,0.718164,0,0.39533,0.254019,0.174277,0.00787722,0.129121,0
59.8708,28.4321,0.205467,0.0215603,0.513321,0.220081,0.17202,0.00624365,0.106402,0.0622993
59.6407,27.7248,0.980291,0.575914,0.575054,0.372429,0.115481,0.00674268,0.16629,0
59.4553,27.4738,1.75872,1.71759,0.548625,0.370246,0.178907,0.00945205,0.0490181,0
59.1063,27.2594,1.81086,0.688411,0.398976,0.373374,0.172286,0.00593612,0.0561369,0
59.1706,27.1482,0.554239,0.0158201,0.708444,0.225611,0.166372,0.00764591,0.212355,0
59.2953,26.4042,0.377104,0,0.555716,0.255055,0.113616,0.00696841,0.149664,0
59.5457,26.4753,0.996458,0,0.322375,0.318911,0.143806,0.00626377,0.288645,0
58.9825,26.1391,0.773362,0,0.574157,0.235001,0.150383,0.00639415,0.109534,0.00910744
59.134,26.2919,0.632142,0.115616,0.679814,0.190945,0.158065,0.00551679,0.0403139,0
59.5871,26.3553,0.338968,0.174104,0.331494,0.376606,0.11464,0.00604848,0.0680065,0
58.9653,25.8118,0.416159,0,0.402953,0.284854,0.172249,0.00587037,0.45636,0
58.6035,25.7915,1.34922,0.761993,0.376058,0.27196,0.125878,0.0081643,0.0614199,0
58.4444,25.6601,0.67575,0.111485,0.553234,0.189262,0.151249,0.00747418,0.0334123,0
