H,He,Li,Be,B,C,N,O,F,Ne
61.7104,69.8979,44.0156,26.762,16.5948,0.81497,0.343577,0.0384182,0.586607,0.397366
62.1613,70.2753,43.3113,26.2147,16.2175,0.883076,0.286342,0.0266787,0.504095,0.3806
62.0962,70.4715,44.9134,25.8549,15.7451,0.935749,0.269045,0.0279664,0.295561,0.530958
62.2734,71.0359,45.373,27.5974,15.2834,0.62895,0.302569,0.0299446,0.3142,0.31842
62.3808,71.1351,43.1793,25.6958,14.8326,0.417667,0.415104,0.0348762,0.513368,0.199834
62.449,71.4922,42.9072,25.174,13.9596,0.517058,0.271242,0.0282757,0.205945,0.876006
62.4252,71.4909,41.8633,24.9971,13.9016,0.499072,0.278106,0.0252618,0.332563,0.377182
62.7433,71.6432,42.58,25.2694,13.026,0.387262,0.254167,0.0235523,0.483008,0.6822
62.7129,71.5094,40.5215,23.9317,12.2111,0.35205,0.213177,0.0269939,0.497337,0.629602
62.824,71.385,40.923,23.9111,11.7121,0.32407,0.21806,0.020061,0.430025,1.13331
62.7669,71.2411,39.568,24.0275,10.9211,0.367789,0.247898,0.0142654,0.363181,0.747898
62.7995,71.1784,38.6951,22.3426,9.84483,0.327429,0.227094,0.014626,0.210701,0.614315
62.7114,71.2472,38.0548,23.1474,8.9654,0.393233,0.193504,0.0175022,0.232539,0.687487
62.8224,70.9905,38.9378,24.1537,8.1547,0.329747,0.198921,0.014159,0.236557,0.571726
62.8203,70.8749,39.0468,24.0936,7.46951,0.309349,0.194053,0.014693,0.138402,0.0835445
62.7769,70.3604,37.7964,23.3869,6.47641,0.324867,0.200218,0.00909038,0.202145,0
62.7679,69.6519,36.8961,23.1921,5.83667,0.383627,0.189391,0.0106479,0.223521,0.29975
62.7483,69.1829,36.4865,21.792,4.46831,0.258245,0.174539,0.0109257,0.233573,0.0180506
62.8271,68.9528,37.2751,23.6782,2.77884,0.280677,0.134877,0.01133,0.150374,0.0450637
62.7948,68.4748,35.4281,23.3179,2.18099,0.251259,0.183934,0.0127616,0.239138,0.183108
62.672,67.7626,34.1201,21.898,1.09995,0.249348,0.137092,0.0111069,0.0978237,0.138607
62.5485,67.935,33.9784,21.0548,0.773034,0.2611,0.135338,0.0126322,0.246726,0.0042639
62.4729,66.7625,32.5591,21.2643,0.824549,0.239338,0.181106,0.013891,0.266871,0
62.3498,66.8217,31.8525,19.5268,0.519001,0.265623,0.146679,0.0124383,0.19792,0.00193759
62.2413,66.1172,30.9026,19.5867,0.590694,0.22233,0.163841,0.0121213,0.0982109,0
