H,He,Li,Be,B,C,N,O,F,Ne
61.4848,69.3647,47.187,27.001,18.214,0.888348,0.267222,0.0346098,0.468399,0.408665
61.69,69.8747,46.2446,26.4107,18.0585,0.906937,0.287355,0.031235,0.30819,0.439689
61.8678,70.5072,47.2829,26.5778,16.8269,0.781332,0.269689,0.0357593,0.425762,0.263402
61.7981,70.5676,46.2781,25.6743,16.1265,0.77257,0.26971,0.0324481,0.390715,0.240496
62.0749,70.671,46.3972,24.4481,15.2663,0.79124,0.228141,0.0271679,0.254264,0.620883
62.0937,70.7952,46.1725,24.0875,14.7606,0.751423,0.331477,0.0280187,0.72396,0.570954
62.3384,70.9254,46.4981,25.3082,14.4702,0.640396,0.258021,0.0342667,0.402549,0.417689
62.1936,70.7733,45.7096,24.0969,13.3697,0.659853,0.186271,0.0305069,0.200941,0.397915
62.3905,70.8718,43.9347,23.4581,12.2293,0.703839,0.226978,0.0197115,0.38344,0.403741
62.3694,70.6837,45.4813,23.8498,11.6121,0.314963,0.253576,0.0265499,0.509614,0.64946
62.5631,70.9564,42.7465,24.4435,11.0522,0.332436,0.24316,0.0219288,0.166236,0.214681
62.5604,70.4918,43.8376,22.225,9.84671,0.325851,0.206185,0.0197396,0.366352,0.773877
62.536,70.5431,43.8758,22.7815,9.16668,0.294251,0.151865,0.0195553,0.246966,0.500955
62.7318,70.2266,43.6663,22.6696,8.06679,0.33209,0.199145,0.0152971,0.240357,0.00600867
62.5368,69.6028,41.6685,23.077,7.18036,0.248563,0.172343,0.0187336,0.207033,0.257791
62.5324,69.2697,41.0355,23.04,6.42415,0.277752,0.183159,0.0114148,0.182364,0.111896
62.5798,69.0005,40.2422,23.177,5.5369,0.294403,0.174766,0.015748,0.415975,0.135488
62.5814,69.1745,40.9506,24.5963,4.75729,0.259963,0.168207,0.0163486,0.115344,0.0105479
62.446,68.3005,39.89,24.4882,3.52798,0.289965,0.160443,0.015428,0.170847,0.142663
62.2431,67.9749,38.2097,21.6337,1.97683,0.292765,0.160228,0.017748,0.271261,0.0374098
62.2965,67.8991,35.4212,22.3237,1.37596,0.322055,0.146397,0.0121412,0.204983,0.000847655
62.0703,67.2244,36.5493,20.7943,0.934594,0.253883,0.144246,0.0167657,0.142731,0
62.1023,66.4278,37.0789,21.4948,0.596571,0.285373,0.166607,0.0138841,0.257546,0.00280335
62.1296,66.2801,34.6416,20.3178,0.588286,0.221158,0.19009,0.0130029,0.211632,0.150503
61.8528,65.9133,35.2415,19.5136,0.655345,0.249903,0.178754,0.011137,0.168192,0.0239701
61.7578,65.2328,34.8654,19.7871,0.706414,0.221871,0.19371,0.0119542,0.200908,0.217418
61.6512,64.8224,35.8965,18.3672,0.681737,0.255781,0.173805,0.0116291,0.183013,0.286009
61.4191,64.4552,32.8973,17.902,0.41795,0.285952,0.16679,0.0118262,0.133648,0.0932127
61.2725,63.9054,32.3515,18.4133,0.4178,0.251359,0.168989,0.0140161,0.159567,0
61.4962,63.4289,31.4158,17.3107,0.508059,0.282834,0.151983,0.0120939,0.185123,0
61.1184,62.8191,31.5662,16.8228,0.437033,0.298938,0.126593,0.0146689,0.117079,0.0445307
60.952,62.2761,31.4468,16.4827,0.440338,0.271151,0.187739,0.0126357,0.176355,0.732265
60.8141,61.909,29.822,15.6714,0.444873,0.242055,0.175795,0.0139881,0.136627,0.0823737
60.8343,61.6662,28.9801,15.3552,0.685546,0.299363,0.173968,0.0101564,0.434999,0.396117
60.4688,61.025,27.7235,13.2856,0.523614,0.244803,0.187588,0.00970746,0.103878,0.00829629
60.332,60.3493,26.3505,13.73,0.531595,0.288756,0.139078,0.0107756,0.217445,0.302781
60.3727,59.2662,26.4636,12.9756,0.703111,0.28951,0.127707,0.013552,0.147122,0
60.3066,59.2331,25.8675,11.7863,0.466363,0.250258,0.145582,0.0150135,0.214649,0.0793831
60.2254,58.6489,27.0749,10.774,0.427515,0.281409,0.174912,0.0106329,0.109802,0.0218619
60.1669,57.7961,24.0422,11.2321,0.53509,0.289926,0.163452,0.0122253,0.106794,0.018743
59.7691,57.467,23.6855,10.6861,0.501457,0.267278,0.146971,0.0101579,0.17463,0.0697898
59.7718,56.6676,24.1629,9.50185,0.561489,0.269505,0.187262,0.00925596,0.196256,0.00590735
59.6762,56.3284,23.7744,11.027,0.488123,0.28383,0.146816,0.00978212,0.214962,0
59.3705,55.8768,23.753,9.25979,0.518039,0.26458,0.147267,0.00914627,0.25408,0.0107286
59.2355,55.2324,21.7268,9.41395,0.65428,0.272528,0.15312,0.0121897,0.1063,0.0281105
59.179,54.6195,22.1429,7.48552,0.764668,0.279008,0.145449,0.0102607,0.143488,0.0401491
59.0088,54.4924,21.8809,8.44998,0.304934,0.258464,0.147325,0.0113033,0.104633,0
58.9308,53.8656,21.5381,7.11039,0.336824,0.257413,0.143864,0.00998486,0.104903,0.00423787
58.7083,52.7467,20.4167,8.41196,0.418877,0.258297,0.119947,0.00963013,0.152589,0.0301347
